Incident_ID,Timestamp,Region_Name,State,Latitude,Longitude,Rainfall_72h_mm,Slope_Angle_Deg,Factor_of_Safety_FoS,AI_Hazard_Score,Predicted_Risk_Level,Affected_Area_sq_m,Soil_Saturation_Pct,Evacuation_Order
LS-2024-001,2024-08-14 06:30,Shimla Summer Hill Sector 4,Himachal Pradesh,31.1048,77.1734,284.5,44.2,0.71,94,CRITICAL (HIGH RISK),14500,98.2,ISSUED
LS-2024-002,2024-08-11 14:15,Kullu Valley Aut Portal,Himachal Pradesh,31.7450,77.2150,192.3,38.5,0.78,89,CRITICAL (HIGH RISK),8900,94.6,ISSUED
LS-2024-003,2024-07-30 02:10,Wayanad Meppadi Chooralmala,Kerala,11.5510,76.1280,372.0,46.8,0.64,98,CRITICAL (HIGH RISK),48000,99.8,ISSUED
LS-2024-004,2024-07-28 11:45,Idukki Munnar Gap Road,Kerala,10.0880,77.0590,315.6,41.2,0.73,92,CRITICAL (HIGH RISK),12200,96.4,ISSUED
LS-2024-005,2024-07-19 18:20,Raigad Mahad Hills,Maharashtra,18.0210,73.5420,410.8,45.1,0.62,97,CRITICAL (HIGH RISK),31000,99.1,ISSUED
LS-2024-006,2024-06-25 09:00,Rishikesh-Joshimath NH-7,Uttarakhand,30.5520,79.5670,210.4,39.7,0.81,87,CRITICAL (HIGH RISK),9400,91.3,ACTIVE
LS-2024-007,2024-06-18 21:30,Guwahati Kalapahar Slopes,Assam,26.1520,91.7340,175.2,34.8,0.86,81,HIGH RISK,6100,88.7,STANDBY
LS-2024-008,2024-05-12 16:40,Nilgiris Coonoor Ghats,Tamil Nadu,11.3530,76.7950,158.0,33.5,0.92,76,HIGH RISK,4300,84.1,STANDBY
LS-2024-009,2024-04-03 08:20,Darjeeling Lebong Cart Road,West Bengal,27.0410,88.2660,188.4,37.6,0.84,85,HIGH RISK,7800,89.5,STANDBY
LS-2024-010,2024-03-22 13:10,Chamoli Tapovan Ridge,Uttarakhand,30.4890,79.6280,142.1,36.2,0.89,79,HIGH RISK,5200,82.6,STANDBY
